ring_m,ring_f,ring,couple_id,observer,year,brood_size,laying_date,laying_date_ymd,morph,sex,age,color_score_median,color_score_median_trans,color_score_median_trans_ord,morph_f,morph_m,parent_combination,color_score_median_f,color_score_median_trans_f,color_score_median_trans_ord_f,color_score_median_m,color_score_median_trans_m,color_score_median_trans_ord_m,colour_score_median_midparent,colour_score_median_midparent_trans,breed_snow_depth_mean,breed_snow_days_n,breed_temp_air_mean,breed_temp_air_CV
462,170,465,713,a,1998,2,5,1998-04-05,brown,male,3,11,2,2,gray,brown,gray_brown,6,3,3,13,4,4,9,3,3.5,4,7.59,0.54
483,633,582,336,a,2005,6,6,2005-04-06,gray,male,2,6,3,3,gray,gray,gray_gray,6,3,3,6,3,3,6,3,1,1,7.68,0.48
490,548,558,272,a,2001,4,2,2001-04-02,brown,male,3,13,4,4,brown,brown,brown_brown,12,3,3,13,4,4,12,3,4.25,4,7.94,0.47
490,648,650,348,a,2005,5,-5,2005-03-26,brown,male,2,12,3,3,brown,brown,brown_brown,12,3,3,13,4,4,12,3,8,9,5.46,0.45
490,648,651,348,a,2005,5,-5,2005-03-26,brown,male,3,12,3,3,brown,brown,brown_brown,12,3,3,13,4,4,12,3,8,9,5.46,0.45
490,648,669,348,a,2006,3,-28,2006-03-03,brown,male,5,13,4,4,brown,brown,brown_brown,12,3,3,13,4,4,12,3,17.19,36,-1.53,0.52
490,648,695,348,b,2008,4,-23,2008-03-08,brown,female,2,13,4,4,brown,brown,brown_brown,12,3,3,13,4,4,12,3,4,14,4.03,0.56
495,494,596,230,b,2004,4,3,2004-04-03,gray,male,4,5,4,2,gray,gray,gray_gray,5,4,2,4,5,1,4,4,0,0,7.85,0.55
498,497,593,233,a,2002,3,-6,2002-03-25,gray,female,2,8,1,5,brown,gray,brown_gray,12,3,3,8,1,5,10,2,3,2,7.51,0.53
507,612,715,320,a,2005,4,4,2005-04-04,gray,female,2,8,1,5,gray,brown,gray_brown,6,3,3,11,2,2,8,2,1,1,7.54,0.49
507,612,716,320,a,2005,4,4,2005-04-04,brown,male,2,12,3,3,gray,brown,gray_brown,6,3,3,11,2,2,8,2,1,1,7.54,0.49
508,325,512,89,a,1998,4,-4,1998-03-27,gray,male,2,7,2,4,gray,gray,gray_gray,7,2,4,4,5,1,5,3,3.5,4,5.89,0.5
